fixture_id,home_id,home_name,away_id,away_name,score_home,score_away,timestamp,venue_id,venue,venue_city,league,league_id,league_country,winner_home,winner_away
882451,2863,Chiangmai United,10197,Nakhon Si Thammarat,3.0,2.0,1660302000,8353.0,700th Anniversary Stadium,Chiang Mai,Thai League 2,297,Thailand,True,False
882452,2803,Ayutthaya FC,2800,Kasetsart FC,2.0,0.0,1660386600,1908.0,Ayutthaya Stadium,Ayutthaya,Thai League 2,297,Thailand,True,False
882453,2781,Chainat,2802,Krabi FC,1.0,0.0,1660388400,1719.0,Khao Plong Stadium,Chainat,Thai League 2,297,Thailand,True,False
882454,2797,Rayong FC,2794,Trat FC,1.0,1.0,1660390200,1782.0,Rayong Stadium,Rayong,Thai League 2,297,Thailand,,
882455,6589,Raj Pracha,6585,Phrae United,2.0,2.0,1660392000,12709.0,Thunder Dome Stadium,Nonthaburi,Thai League 2,297,Thailand,,
882456,2785,Suphanburi,2804,Customs United,2.0,0.0,1660473000,1560.0,Suphanburi Municipality Stadium,Suphanburi,Thai League 2,297,Thailand,True,False
882457,2862,Udon Thani,10088,Uthai Thani,2.0,4.0,1660474800,1906.0,Udon Thani Institute of PE Stadium,Udon Thani,Thai League 2,297,Thailand,False,True
882458,2782,Pattaya United,6578,Nakhon Pathom,0.0,1.0,1660476600,11516.0,Samut Prakarn SAT Stadium,Samut Prakan,Thai League 2,297,Thailand,False,True
882459,10087,Ranong United,2793,Chiangmai FC,1.0,1.0,1660478400,7107.0,Ranong Stadium,Ranong,Thai League 2,297,Thailand,,
882460,2804,Customs United,2781,Chainat,3.0,2.0,1660906800,1556.0,Lat Krabang 54 Stadium,Bangkok,Thai League 2,297,Thailand,True,False
882462,2785,Suphanburi,2803,Ayutthaya FC,1.0,1.0,1660991400,1560.0,Suphanburi Municipality Stadium,Suphanburi,Thai League 2,297,Thailand,,
882464,2797,Rayong FC,10087,Ranong United,0.0,0.0,1660993200,1782.0,Rayong Stadium,Rayong,Thai League 2,297,Thailand,,
882463,10088,Uthai Thani,2782,Pattaya United,1.0,1.0,1660995000,7108.0,Uthai Thani Province Stadium,Uthai Thani,Thai League 2,297,Thailand,,
882461,2800,Kasetsart FC,2863,Chiangmai United,0.0,0.0,1660996800,12382.0,Intree Chantarasatit Stadium,Bangkok,Thai League 2,297,Thailand,,
882468,2802,Krabi FC,2794,Trat FC,2.0,3.0,1661077800,1957.0,Krabi Provincial Stadium,Krabi,Thai League 2,297,Thailand,False,True
882466,10197,Nakhon Si Thammarat,6589,Raj Pracha,1.0,0.0,1661079600,4815.0,Nakhon Si Thammarat Stadium,Nakhon Si Thammarat,Thai League 2,297,Thailand,True,False
882467,6585,Phrae United,2862,Udon Thani,2.0,1.0,1661081400,4818.0,Huaimah Stadium,Huai Ma,Thai League 2,297,Thailand,True,False
882465,2793,Chiangmai FC,6578,Nakhon Pathom,0.0,0.0,1661083200,1721.0,Chiangmai Municipality Stadium,Chiang Mai,Thai League 2,297,Thailand,,
882469,10088,Uthai Thani,2793,Chiangmai FC,1.0,3.0,1661511600,7108.0,Uthai Thani Province Stadium,Uthai Thani,Thai League 2,297,Thailand,False,True
882473,2781,Chainat,6585,Phrae United,1.0,2.0,1661596200,1719.0,Khao Plong Stadium,Chainat,Thai League 2,297,Thailand,False,True
882470,10087,Ranong United,2804,Customs United,1.0,3.0,1661598000,7107.0,Ranong Stadium,Ranong,Thai League 2,297,Thailand,False,True
882471,6589,Raj Pracha,2800,Kasetsart FC,0.0,0.0,1661599800,12709.0,Thunder Dome Stadium,Nonthaburi,Thai League 2,297,Thailand,,
882472,6578,Nakhon Pathom,2802,Krabi FC,1.0,1.0,1661601600,4814.0,Nakhon Pathom Municipality Sport School Stadium,Nakhon Pathom,Thai League 2,297,Thailand,,
882475,2863,Chiangmai United,2803,Ayutthaya FC,1.0,4.0,1661682600,8353.0,700th Anniversary Stadium,Chiang Mai,Thai League 2,297,Thailand,False,True
882477,2794,Trat FC,10197,Nakhon Si Thammarat,0.0,0.0,1661684400,1783.0,Trat Provincial Central Stadium,Trat,Thai League 2,297,Thailand,,
882476,2862,Udon Thani,2797,Rayong FC,0.0,1.0,1661686200,1906.0,Udon Thani Institute of PE Stadium,Udon Thani,Thai League 2,297,Thailand,False,True
882474,2782,Pattaya United,2785,Suphanburi,0.0,2.0,1661688000,11516.0,Samut Prakarn SAT Stadium,Samut Prakan,Thai League 2,297,Thailand,False,True
882478,6585,Phrae United,10087,Ranong United,1.0,2.0,1662116400,4818.0,Huaimah Stadium,Huai Ma,Thai League 2,297,Thailand,False,True
882481,2804,Customs United,2862,Udon Thani,3.0,1.0,1662201000,1556.0,Lat Krabang 54 Stadium,Bangkok,Thai League 2,297,Thailand,True,False
882479,2802,Krabi FC,2782,Pattaya United,1.0,1.0,1662202800,1957.0,Krabi Provincial Stadium,Krabi,Thai League 2,297,Thailand,,
882480,2797,Rayong FC,6589,Raj Pracha,1.0,1.0,1662204600,1782.0,Rayong Stadium,Rayong,Thai League 2,297,Thailand,,
882482,2803,Ayutthaya FC,2794,Trat FC,3.0,2.0,1662206400,1908.0,Ayutthaya Stadium,Ayutthaya,Thai League 2,297,Thailand,True,False
882484,2800,Kasetsart FC,2781,Chainat,4.0,2.0,1662287400,12382.0,Intree Chantarasatit Stadium,Bangkok,Thai League 2,297,Thailand,True,False
882486,10088,Uthai Thani,6578,Nakhon Pathom,0.0,0.0,1662289200,7108.0,Uthai Thani Province Stadium,Uthai Thani,Thai League 2,297,Thailand,,
882485,10197,Nakhon Si Thammarat,2793,Chiangmai FC,1.0,0.0,1662291000,4815.0,Nakhon Si Thammarat Stadium,Nakhon Si Thammarat,Thai League 2,297,Thailand,True,False
882483,2785,Suphanburi,2863,Chiangmai United,0.0,2.0,1662292800,1560.0,Suphanburi Municipality Stadium,Suphanburi,Thai League 2,297,Thailand,False,True
882487,2794,Trat FC,2800,Kasetsart FC,3.0,0.0,1662721200,1783.0,Trat Provincial Central Stadium,Trat,Thai League 2,297,Thailand,True,False
882488,2793,Chiangmai FC,2797,Rayong FC,0.0,2.0,1662805800,1721.0,Chiangmai Municipality Stadium,Chiang Mai,Thai League 2,297,Thailand,False,True
